name,city,country,iata,icao
Fazenda Jamaica Airport,Ulianopolis,BR,,SNZV
Itubera Airport,Itubera,BR,ITE,SNZW
Fazenda Bandeira Airport,Tupa,BR,,SNZY
Muzzi Airport,Coruripe,BR,,SNZZ
Cayenne-Rochambeau Airport,Cayenne / Rochambeau,GF,CAY,SOCA
Grand-Santi Airport,Grand-Santi,GF,GSI,SOGS
Malin Airport,Malin,PE,,SOML
Maripasoula Airport,Maripasoula,GF,MPY,SOOA
Saint-Georges-de-l'Oyapock Airport,Saint-Georges-de-l'Oyapock Airport,GF,OXP,SOOG
Saint-Laurent-du-Maroni Airport,Saint-Laurent-du-Maroni,GF,LDX,SOOM
Regina Airport,Regina,GF,REI,SOOR
Saul Airport,Saul,GF,XAU,SOOS
Sinnamary,Sinnamary,GF,,SOOY
Caraz Airport,Ancash,PE,,SPAA
Huancabamba Airport,Huancabamba,PE,,SPAB
Ciro Alegria Airport,Bagua,PE,,SPAC
Aguaytia Airport,Aguaytia,PE,,SPAG
Urpay Airport,Pataz,PE,,SPAI
Alao Airport,El Dorado,PE,,SPAL
Camana Airport,Camana,PE,,SPAM
Sullana Airport,Sullana,PE,,SPAN
San Juan Aposento Airport,San Juan Aposento,PE,APE,SPAO
Picota Airport,Picota,PE,,SPAP
Alerta Airport,Fortaleza,PE,ALD,SPAR
Alferez FAP Alfredo Vladimir Sara Bauer Airport,Andoas,PE,AOP,SPAS
Aguas Calientes Airport,Aguas Calientes,PE,,SPAT
Teniente General Gerardo Perez Pinedo Airport,Atalaya,PE,ATG,SPAY
Barranca Airport,Barranca,PE,,SPBA
Moyobamba Airport,Moyobamba,PE,MBP,SPBB
Caballococha Airport,Caballococha,PE,,SPBC
Huallaga Airport,Bellavista,PE,BLP,SPBL
Nuevo Acari Airport,La Bella Union,PE,,SPBQ
Iberia Airport,Iberia,PE,IBP,SPBR
Bellavista Airport,Jeberos,PE,,SPBS
Obenteni Airport,Obenteni,PE,,SPBT
Bayovar,Bayovar,PE,,SPBY
Ciudad Constitucion Airport,Ciudad Constitucion,PE,,SPCC
Casa Grande Airport,Ascope,PE,,SPCG
Tocache Airport,Tocache,PE,,SPCH
Cap FAP David Abenzur Rengifo International Airport,Pucallpa,PE,PCL,SPCL
Contamana Airport,Contamana,PE,,SPCM
Cunocuno Airport,Cunocuno,PE,,SPCN
Pucacaca Airport,Pucacaca,PE,,SPCP
Acari Airbase Airport,Acari,PE,,SPCR
Chota Airport,Chota,PE,,SPCT
Mollendo Airport,Mollendo,PE,,SPDO
Trompeteros Airport,Corrientes,PE,TDP,SPDR
Pebas Airport,Loreto,PE,,SPEB
El Estrecho Airport,,PE,,SPEE
Iscozasin Airport,Iscozasin,PE,,SPEN
Teniente FAP Jaime A De Montreuil Morales Airport,Chimbote,PE,CHM,SPEO
Puerto Esperanza Airport,Esperanza,PE,,SPEP
Cesar Torke Podesta Airport,Moquegua,PE,,SPEQ
Puerto Bermudez Airport,Oxapampa,PE,,SPEZ
Fausa Airport,Fausa,PE,,SPFA
Galilea Airport,,PE,,SPGB
Tingo Maria Airport,Tingo Maria,PE,TGI,SPGM
Gueppi­ Airport,,PE,,SPGP
Lagunas Airport,Cajamarca,PE,,SPGS
Puerto Victoria Airport,Puerto Victoria,PE,,SPGT
Bagua Airport,Bagua,PE,,SPGU
Chincha Airport,Chincha,PE,,SPHA
Chala Airport,Puerto Chala,PE,,SPHC
Capitan FAP Jose A Quinones Gonzales International Airport,Chiclayo,PE,CIX,SPHI
Olmos Airport,<Olmos,PE,,SPHL
Coronel FAP Alfredo Mendivil Duarte Airport,Ayacucho,PE,AYP,SPHO
Huancayo Airport,Huancayo,PE,,SPHU
Huanuco Viejo Airport,Huanuco Viejo,PE,,SPHV
Andahuaylas Airport,Andahuaylas,PE,ANS,SPHY
Comandante FAP German Arias Graziani Airport,Anta,PE,ATA,SPHZ
Ica Airport,Ica,PE,,SPIA
Quince Air Base,Quince Mil,PE,UMI,SPIL
Inapari Airport,Inapari,PE,,SPIN
Satipo Airport,Satipo,PE,,SPIP
Patria Airport,Pillcopata,PE,,SPIR
Pias Airport,Pataz,PE,,SPIS
Paita Airport,Paita Wesr,PE,,SPIT
Yauri Airport,Yauri,PE,,SPIY
Uchiza Airport,Uchiza,PE,UCZ,SPIZ
Juan Simons Vela Airport,Rioja,PE,RIJ,SPJA
Pampa Grande Airport,Pampa Grande,PE,,SPJB
Jorge Chavez International Airport,Lima,PE,LIM,SPJC
Shumba Airport,Jaen,PE,JAE,SPJE
Juanjui Airport,Juanjui,PE,JJI,SPJI
Francisco Carle Airport,Jauja,PE,JAU,SPJJ
Inca Manco Capac International Airport,Juliaca,PE,JUL,SPJL
San Juan de Marcona Airport,San Juan de Marcona,PE,SJA,SPJN
Mayor General FAP Armando Revoredo Iglesias Airport,Cajamarca,PE,CJA,SPJR
Luisiana Airport,Luisiana,PE,,SPLA
Mariano Melgar,La Joya,PE,,SPLC
Celendin Airport,Celendin,PE,,SPLD
Lagarto Nuevo Airport,Lagarto,PE,,SPLG
San Nicolas Airport,Rodriguez de Mendoza,PE,RIM,SPLN
Ilo Airport,Ilo,PE,ILQ,SPLO
Las Palmas Airport,Chorrillos,PE,,SPLP
Zorrillos Airport,Zorrillos,PE,,SPLS
Lobitos Airport,Lobitos,PE,,SPLT
Capitan FAP Pedro Canga Rodriguez Airport,Tumbes,PE,TBP,SPME
Manuel Prado Ugarteche Airport,Mazamari,PE,MZA,SPMF
Santa Maria Airport,Santa Maria,PE,SMG,SPMR
Moises Benzaquen Rengifo Airport,Yurimaguas,PE,YMS,SPMS
Alferez Fap David Figueroa Fernandini Airport,Huanuco,PE,HUU,SPNC
Laguna Choclococha Airport,Choclococha,PE,,SPNH
Nuevo Mundo Airport,Nuevo Mundo,PE,,SPNM
Ancon Airport,Ancon,PE,,SPNO
Ventilla Airport,Ventilla,PE,,SPNP
Ricran Airport,Ricran,PE,,SPNR
Intuto Airport,Intuto,PE,,SPNT
Manu Airport,Manu,PE,,SPNU
Saposoa Airport,Plaza Saposoa,PE,SQU,SPOA
Collique Airport,Collique Bajo,PE,,SPOL
Orellana Airport,Orellana,PE,,SPON
Orcopampa Airport,Orcopampa,PE,,SPOR
Zorritos Airport,Contralmirante Villar,PE,,SPOS
Shiringayoc/Hacienda Hda Mejia Airport,Leon Velarde,PE,,SPOV
Atico Airport,Atico,PE,,SPOY
Puerto Ocopa Airport,Puerto Ocopa,PE,,SPPA
Tipishsa Airport,Puerto Breu,PE,,SPPB
Paramonga Airport,Paramonga,PE,,SPPG
Pampa Hermosa Airport,Pampa Hermosa,PE,,SPPH
Playa Airport,Trismaje,PE,,SPPL
Pomacocha Airport,Pomacocha,PE,,SPPM
Palmas del Espino Airport,Palmas del Espino,PE,,SPPN
Pozuzo Airport,Pozuzo,PE,,SPPO
Huanacopampa Airport,Huanacopampa,PE,,SPPP
Chachapoyas Airport,Chachapoyas,PE,CHH,SPPY
Palcazu Airport,Porvenir,PE,,SPPZ
Kiteni Airport,La Convencion,PE,,SPQI
Jaqui Airport,Jaqui,PE,,SPQJ
Requena Airport,Requena,PE,REQ,SPQN
Quiruvilca Airport,Qiruvilca,PE,,SPQR
Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,PE,IQT,SPQT
Rodriguez Ballon International Airport,Arequipa,PE,AQP,SPQU
San Rafael Airport,San Rafael,PE,,SPRF
San Regis Airport,Chincha,PE,,SPRG
Imperial Airport,Imperial,PE,,SPRL
Capitan FAP Leonardo Alvarino Herr Airport,San Ramon,PE,,SPRM
Capitan FAP Carlos Martinez De Pinillos International Airport,Trujillo,PE,TRU,SPRU
Casma Airport,Casma,PE,,SPSA
Sepahua Airport,Sepahua,PE,,SPSE
San Francisco Airport,San Francisco de Yeso,PE,,SPSF
Siguas Airport,Siguas,PE,,SPSI
San Jose de Sisa Airport,El Dorado,PE,,SPSJ
Lamas Airport,Lamas,PE,,SPSL
Shapaja Airport,Shapaja,PE,,SPSN
Capitan FAP Renan Elias Olivera International Airport,Pisco,PE,PIO,SPSO
Masisea Airport,Masisea,PE,,SPSS
Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,PE,TPP,SPST
Shiringayoc Airport,Shiringayoc,PE,SYC,SPSY
Nauta Airport,Nauta,PE,,SPTA
San Francisco Airport,San Francisco,PE,,SPTE
Puerto Inca Airport,Puerto Inca,PE,,SPTI
Coronel FAP Carlos Ciriani Santa Rosa International Airport,Tacna,PE,TCQ,SPTN
El Pato Air Base,El Pato,PE,,SPTP
Toquepala Airport,Toquepala,PE,,SPTQ
Tournavista Airport,Tournavista,PE,,SPTR
Padre Aldamiz International Airport,Puerto Maldonado,PE,PEM,SPTU
Tintay Airport,Tintay,PE,,SPTY
Huamachuco Airport,Huamachuco,PE,,SPUC
Capitan FAP Guillermo Concha Iberico International Airport,Piura,PE,PIU,SPUR
Hacienda El Valor Airport,El Valor,PE,,SPVA
Vicco Airport,Vicco,PE,,SPVI
Caraveli Airport,Caraveli,PE,,SPVL
Vitor Airport,Vitor,PE,,SPVR
Luya Airport,Luya,PE,,SPYA
Capitan Montes Airport,,PE,TYL,SPYL
Pacasmayo Airport,Pacasmayo,PE,,SPYO
Yauca Airport,Yauca,PE,,SPYU
Maria Reiche Neuman Airport,,PE,NZC,SPZA
Pachiza Airport,Pachiza,PE,,SPZH
Alejandro Velasco Astete International Airport,Cusco,PE,CUZ,SPZO
Chazuta Airport,Chazuta,PE,,SPZT
Ibaiti Airport,Ibaiti,BR,,SSAB
Fazenda Ribeirao Airport,Chapadao Do Sul,BR,,SSAD
Arroio Grande Airport,Arroio Grande,BR,,SSAE
Aeroclube de Foz do Iguacu Airport,Santa Terezinha De Itaipu,BR,,SSAF
Fazenda Agropecuaria Lobo Ltda Airport,Agua Clara,BR,,SSAG
Fazenda Esperanca Airport,Bataipora,BR,,SSAJ
Aeroclube Airport,Cruz Alta,BR,,SSAK
Amambai Airport,Amambai,BR,,SSAM
Andira Airport,Andira,BR,,SSAN
Apucarana Airport,Apucarana,BR,APU,SSAP
Aeroclube Airport,Passo Fundo,BR,,SSAQ
Fazenda Jacare Airport,Campo Grande,BR,,SSAR
Centeno Airport,Tapes,BR,,SSAU
Fazenda Amonguija Airport,Porto Murtinho,BR,,SSAV
Fazenda Japecanga Airport,Ribas Do Rio Pardo,BR,,SSAW
Sitio Pouso do Aviador Airport,Campo Grande,BR,,SSAY
Fazenda Bela Vista Airport,Camapua,BR,,SSBA
Estrela Dalva Airport,Bodoquena,BR,,SSBB
